ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
5202,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
CHEMBL39,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
DB08839,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
5,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
5202,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
CHEMBL39,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
DB08839,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
5,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Functionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereaderFunctionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereader,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2003.05.001
5202,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Functionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereaderFunctionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereader,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2003.05.001
CHEMBL39,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Functionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereaderFunctionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereader,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2003.05.001
